epoch,train_loss,eval_loss,eval_top1,eval_top5,eval_train_loss,eval_train_top1,eval_train_top5
0,6.919518232345581,6.926896924133301,0.08,0.488,6.860637553710937,0.358,1.5239999999809266
epoch,train_loss,eval_loss,eval_top1,eval_top5,eval_train_loss,eval_train_top1,eval_train_top5
0,6.919518232345581,6.926896924133301,0.08,0.488,6.860637553710937,0.358,1.5239999999809266
epoch,train_loss,eval_loss,eval_top1,eval_top5,eval_train_loss,eval_train_top1,eval_train_top5
0,6.919518232345581,6.926896924133301,0.08,0.488,6.860637553710937,0.358,1.5239999999809266
epoch,train_loss,eval_loss,eval_top1,eval_top5,eval_train_loss,eval_train_top1,eval_train_top5
1,6.527208374096797,6.929863020324707,0.10999999998092651,0.4919999999237061,4.991210954284668,11.410000003967285,27.288000001220702
epoch,train_loss,eval_loss,eval_top1,eval_top5,eval_train_loss,eval_train_top1,eval_train_top5
1,6.527208374096797,6.929863020324707,0.10999999998092651,0.4919999999237061,4.991210954284668,11.410000003967285,27.288000001220702
epoch,train_loss,eval_loss,eval_top1,eval_top5,eval_train_loss,eval_train_top1,eval_train_top5
1,6.527208374096797,6.929863020324707,0.10999999998092651,0.4919999999237061,4.991210954284668,11.410000003967285,27.288000001220702
epoch,train_loss,eval_loss,eval_top1,eval_top5,eval_train_loss,eval_train_top1,eval_train_top5
2,6.145065289277297,6.917866545104981,0.102,0.474,4.538480805206299,17.102000009765625,37.06000002075195
epoch,train_loss,eval_loss,eval_top1,eval_top5,eval_train_loss,eval_train_top1,eval_train_top5
2,6.145065289277297,6.917866545104981,0.102,0.474,4.538480805206299,17.102000009765625,37.06000002075195
epoch,train_loss,eval_loss,eval_top1,eval_top5,eval_train_loss,eval_train_top1,eval_train_top5
2,6.145065289277297,6.917866545104981,0.102,0.474,4.538480805206299,17.102000009765625,37.06000002075195
epoch,train_loss,eval_loss,eval_top1,eval_top5,eval_train_loss,eval_train_top1,eval_train_top5
